Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"BasicQueue/BST/Traverse a balanced tree of depth 1/setup",6.079569717938887e-7,5.911274250337784e-7,6.268902118990128e-7,3.043384329970519e-8,2.246859464588897e-8,4.021478759093672e-8
"BasicQueue/BST/Traverse a balanced tree of depth 1/test",6.795784720995529e-7,6.743757383335972e-7,6.862951653447476e-7,1.0025599910604227e-8,7.216041975480008e-9,1.3475835093972371e-8
"BasicQueue/BST/Traverse a balanced tree of depth 2/setup",1.9345913720772444e-6,1.9058386512250812e-6,1.9963885178379695e-6,6.832648050362416e-8,3.156151650670754e-8,1.0914407999534522e-7
"BasicQueue/BST/Traverse a balanced tree of depth 2/test",1.9164438274773685e-6,1.854735489356964e-6,2.060897437168315e-6,1.4724740307765463e-7,6.293307804185614e-8,2.332101604183236e-7
"BasicQueue/BST/Traverse a balanced tree of depth 3/setup",4.887601750935536e-6,4.749779458593884e-6,5.302919169278428e-6,3.988144255545952e-7,4.723234866860547e-8,6.636117551015512e-7
"BasicQueue/BST/Traverse a balanced tree of depth 3/test",9.001238441746427e-5,1.9901427589664777e-5,2.1727299713645098e-4,1.4864955938685465e-4,5.519925422556416e-5,2.064797861980187e-4
"BasicQueue/BST/Traverse a balanced tree of depth 4/setup",3.0397550522377997e-5,1.387434826204271e-5,7.930038001049648e-5,4.2476210472669666e-5,1.2985502356904403e-5,7.008205032582089e-5
"BasicQueue/BST/Traverse a balanced tree of depth 4/test",5.433532140622236e-5,2.866585263248646e-5,1.0933212977617679e-4,6.178617526225067e-5,2.893953771428814e-5,9.8839287350049e-5
"BasicQueue/BST/Traverse a balanced tree of depth 5/setup",1.7068864513793928e-4,1.0124942170577384e-4,2.440463811697794e-4,1.22632694894316e-4,9.371688983195235e-5,1.5946818868277715e-4
"BasicQueue/BST/Traverse a balanced tree of depth 5/test",2.7799370478500016e-5,2.6758276016423195e-5,2.8594099075505227e-5,1.5480556943906995e-6,1.0239361704766847e-6,2.1123109371661682e-6
"BasicQueue/BST/Traverse a balanced tree of depth 6/setup",6.656939894638279e-4,3.4057816205012215e-4,1.0614605778216065e-3,6.073184912973583e-4,4.611761603495857e-4,7.762026121983914e-4
"BasicQueue/BST/Traverse a balanced tree of depth 6/test",6.54564483928216e-4,2.1693015208879072e-4,1.5237296319820664e-3,9.812458174668528e-4,4.6871447155186354e-4,1.4980637779174115e-3
"BasicQueue/BST/Traverse a balanced tree of depth 7/setup",2.7435404255308886e-4,1.299796719781377e-4,6.712256093255499e-4,3.644975002744154e-4,1.2756711792361782e-4,5.906829492882805e-4
"BasicQueue/BST/Traverse a balanced tree of depth 7/test",2.8370611744848164e-3,9.131662922826681e-4,6.529449709030715e-3,4.127970898271261e-3,8.236703061954969e-4,5.224557227783804e-3
"BasicQueue/BST/Traverse a balanced tree of depth 8/setup",3.3096235249336666e-4,1.99120284229904e-4,8.067777167860565e-4,3.852380063956017e-4,4.091847678586445e-5,6.40585954396412e-4
"BasicQueue/BST/Traverse a balanced tree of depth 8/test",2.093121934709224e-2,1.3010906465622515e-2,3.0580043085190384e-2,1.4835578818017638e-2,9.83309213098222e-3,2.149128183440629e-2
"BasicQueue/BST/Traverse a balanced tree of depth 9/setup",1.6198523367625295e-3,8.276668712677377e-4,2.9954766755483364e-3,1.7327134238194412e-3,1.0243518743651794e-3,2.4839832004466284e-3
"BasicQueue/BST/Traverse a balanced tree of depth 9/test",5.836408067521724e-2,2.730612684068355e-2,0.11290676523027096,6.828701280822519e-2,3.908840934388828e-2,0.10351751191677597
"BasicQueue/BST/Traverse a balanced tree of depth 10/setup",1.0420792180028831e-3,6.992809849706563e-4,2.3829214650121604e-3,1.0587352920199912e-3,6.3905766623458144e-6,1.735611390370156e-3
"BasicQueue/BST/Traverse a balanced tree of depth 10/test",2.4742841013046826e-2,2.451255250749263e-2,2.519957948503169e-2,5.297175700274989e-4,1.2913209670095606e-4,8.003551581266593e-4
"BasicQueue/BST/Traverse a balanced tree of depth 11/setup",1.25298731404272e-2,4.043316133591262e-3,2.813725400743159e-2,1.8325082822586554e-2,2.4515049736065866e-3,2.5169098580463834e-2
"BasicQueue/BST/Traverse a balanced tree of depth 11/test",0.21174449849900873,0.15045654702958733,0.42010679174241694,0.17390029357214185,1.589976484555795e-2,0.2859629798936941
"BasicQueue/BST/Traverse a balanced tree of depth 12/setup",7.858800180527297e-3,5.199932344528761e-3,1.1281084306809035e-2,5.156737287108535e-3,3.4947241945040455e-3,6.5322681976529556e-3
"BasicQueue/BST/Traverse a balanced tree of depth 12/test",0.8133315556126562,0.7596857779103247,1.0269571535664528,0.16901916301038503,7.54236773666702e-4,0.28160103510053724
"BasicQueue/BST/Traverse a balanced tree of depth 13/setup",1.7807125337692825e-2,8.841394670578567e-3,3.698117662248286e-2,2.0439835788310542e-2,5.267536882369829e-3,3.1127156173798968e-2
"BasicQueue/BST/Traverse a balanced tree of depth 13/test",4.326589798219772,4.314590095766159,4.366005729921433,3.348885258358784e-2,5.091327536758823e-3,5.5858598530929275e-2
"BasicQueue/BST/Traverse a balanced tree of depth 14/setup",2.6209353693100543e-2,1.4425658472153274e-2,5.406925607499752e-2,2.6848674374708083e-2,7.810518838618801e-4,4.134443553484627e-2
"BasicQueue/BST/Traverse a balanced tree of depth 14/test",51.14835853505907,51.09104733396349,51.26602187085924,0.1342882001408924,5.8319574286084266e-2,0.21945337716989238
"BasicQueue/BST/Traverse a balanced tree of depth 15/setup",4.506401944932613e-2,2.879228521165523e-2,7.594990659532222e-2,3.449299505597937e-2,6.094632938013594e-4,4.586320909089911e-2
"BasicQueue/BST/Traverse a balanced tree of depth 15/test",335.7489125006277,335.3474715225774,336.1646532290059,0.6963415988237104,0.5302904184252476,0.9698747206272605
"PairQueue/BST/Traverse a balanced tree of depth 1/setup",4.7386550218326964e-7,4.312200657703864e-7,5.483600619931163e-7,9.27445096673144e-8,2.2119556151968414e-8,1.1981953751355225e-7
"PairQueue/BST/Traverse a balanced tree of depth 1/test",4.57018035223532e-6,1.8806768155410896e-6,8.939292682845274e-6,5.682897781174229e-6,2.8348410690704204e-6,7.94124193110981e-6
"PairQueue/BST/Traverse a balanced tree of depth 2/setup",1.843182215240142e-5,9.476897910696849e-6,3.374123826585107e-5,1.9460478833394532e-5,7.07932856527247e-6,2.5667678588017768e-5
"PairQueue/BST/Traverse a balanced tree of depth 2/test",1.2415387966687475e-5,6.823258543301412e-6,1.981276723565493e-5,1.0846310060241084e-5,8.083712447490853e-6,1.4137130282661441e-5
"PairQueue/BST/Traverse a balanced tree of depth 3/setup",6.851405482608954e-6,5.4021873194854574e-6,1.1064445174240564e-5,4.060793549558543e-6,7.563534379042752e-7,6.769363781988892e-6
"PairQueue/BST/Traverse a balanced tree of depth 3/test",3.710193019659124e-6,3.6653142282988297e-6,3.822389998059859e-6,1.1356192001263483e-7,4.400345531444954e-8,1.8635252613434917e-7
"PairQueue/BST/Traverse a balanced tree of depth 4/setup",2.6133711757894114e-5,1.7015241188309117e-5,4.7760837081912965e-5,2.2748467448790318e-5,8.491993230296708e-6,3.703859105484289e-5
"PairQueue/BST/Traverse a balanced tree of depth 4/test",5.096365405754609e-5,1.0919550707587947e-5,1.483780794987431e-4,9.373621002367629e-5,6.43224774898128e-7,1.4788450964178538e-4
"PairQueue/BST/Traverse a balanced tree of depth 5/setup",2.118736697793609e-5,2.111271925614596e-5,2.1240065052761314e-5,1.060024760644987e-7,5.611795986254831e-8,1.7667729855127984e-7
"PairQueue/BST/Traverse a balanced tree of depth 5/test",2.1016243980689483e-5,2.0622853325171907e-5,2.1516922996802763e-5,7.522684457269817e-7,4.881277128561953e-7,1.1041437570256e-6
"PairQueue/BST/Traverse a balanced tree of depth 6/setup",2.8142640096984824e-4,1.9722945657927443e-4,4.2706496683318074e-4,1.8504474055923515e-4,9.579411178266311e-5,2.878034857645456e-4
"PairQueue/BST/Traverse a balanced tree of depth 6/test",7.392608760995071e-4,3.5742632412634424e-4,1.275502047594477e-3,7.682964144560253e-4,5.34709123565057e-4,1.0322197190401079e-3
"PairQueue/BST/Traverse a balanced tree of depth 7/setup",7.643506528172659e-4,4.8031995043825104e-4,1.1781688608153904e-3,5.787656861503429e-4,3.589289398108745e-4,8.632452616638113e-4
"PairQueue/BST/Traverse a balanced tree of depth 7/test",8.904863176020707e-5,8.177686509760943e-5,9.69402867284688e-5,1.2966405621653232e-5,1.05864292670366e-5,1.525028061078676e-5
"PairQueue/BST/Traverse a balanced tree of depth 8/setup",1.3832975206050005e-4,1.3372827348383988e-4,1.5032220658930864e-4,1.2054882841307736e-5,3.4294173502653743e-6,2.0128594343371564e-5
"PairQueue/BST/Traverse a balanced tree of depth 8/test",1.903826508006035e-3,1.03291595017245e-3,3.2401550578245943e-3,1.8198692684870594e-3,1.2407501059093595e-3,2.551142128080264e-3
"PairQueue/BST/Traverse a balanced tree of depth 9/setup",4.6847220697863535e-3,2.736222390220924e-3,7.644068841026587e-3,4.009766246311063e-3,2.2914501348514998e-3,6.1939681159694825e-3
"PairQueue/BST/Traverse a balanced tree of depth 9/test",4.755718266364043e-3,2.7927908567832657e-3,8.305334943784522e-3,4.422614999002837e-3,2.3862884726574517e-3,6.991173340907413e-3
"PairQueue/BST/Traverse a balanced tree of depth 10/setup",6.946539790403436e-3,3.3224313566799866e-3,1.186404815412719e-2,7.18320483045474e-3,5.166961405971406e-3,9.009453421194866e-3
"PairQueue/BST/Traverse a balanced tree of depth 10/test",9.7469084340063e-3,4.86850667771968e-3,1.7134999521347612e-2,1.0416552395791635e-2,6.827431765499915e-3,1.3795747873137816e-2
"PairQueue/BST/Traverse a balanced tree of depth 11/setup",7.951616533371533e-3,3.7199490147558126e-3,1.9585417993637645e-2,1.1198833983477005e-2,3.2638414759103215e-3,1.8433615176033643e-2
"PairQueue/BST/Traverse a balanced tree of depth 11/test",1.2831806429001419e-2,8.95492959794673e-3,1.730160642442378e-2,7.1611655708603405e-3,5.2565014477148906e-3,9.11454863789806e-3
"PairQueue/BST/Traverse a balanced tree of depth 12/setup",2.9362129457565875e-2,1.6634082086655226e-2,4.9065994508835406e-2,2.670612878763655e-2,1.7114868757057485e-2,3.8352501557727264e-2
"PairQueue/BST/Traverse a balanced tree of depth 12/test",3.897564340409907e-2,2.7736353166672317e-2,6.173579622087154e-2,2.6401773869718776e-2,1.2799048690218215e-2,4.245333411975072e-2
"PairQueue/BST/Traverse a balanced tree of depth 13/setup",3.049907613572749e-2,1.641707349595698e-2,6.439509321031245e-2,3.500652282778146e-2,1.3972208292323558e-2,5.73421367018775e-2
"PairQueue/BST/Traverse a balanced tree of depth 13/test",3.3692144640060984e-2,3.225495744523677e-2,3.891682554063471e-2,4.2662907618114185e-3,3.611438600890444e-4,7.09239093949263e-3
"PairQueue/BST/Traverse a balanced tree of depth 14/setup",4.796960283097895e-2,3.0995964296433056e-2,6.629481244859371e-2,3.0460430151157382e-2,2.358389017783226e-2,3.7892497910312954e-2
"PairQueue/BST/Traverse a balanced tree of depth 14/test",7.191905904588375e-2,6.951672960099849e-2,7.766313482103024e-2,5.941666238861554e-3,2.5037636056742685e-3,9.620679335912711e-3
"PairQueue/BST/Traverse a balanced tree of depth 15/setup",2.8455042131516065e-2,2.8255652673813428e-2,2.8957747705551706e-2,4.99384991561502e-4,2.040012487894364e-4,8.052066840186415e-4
"PairQueue/BST/Traverse a balanced tree of depth 15/test",0.1555819265919653,0.15208482671556148,0.16771919656572015,1.0033514336600005e-2,1.4115523710902954e-3,1.6758002872733435e-2
"OkasakiQueue/BST/Traverse a balanced tree of depth 1/setup",7.717629065963943e-7,7.091597459488674e-7,8.427034040591291e-7,1.1405787280914429e-7,7.17425470190627e-8,1.9012089216291233e-7
"OkasakiQueue/BST/Traverse a balanced tree of depth 1/test",2.7495251008958526e-6,2.550842951644551e-6,3.1707312573086132e-6,4.730693874758868e-7,1.8899768174210618e-7,7.85893318392383e-7
"OkasakiQueue/BST/Traverse a balanced tree of depth 2/setup",2.1274935832635603e-6,2.0321261516229357e-6,2.2410930238943052e-6,1.7764521580116414e-7,1.2492502235539966e-7,2.5673955706866646e-7
"OkasakiQueue/BST/Traverse a balanced tree of depth 2/test",2.993534820124427e-6,2.683590667292396e-6,3.14500074096542e-6,3.519345077589512e-7,1.21006115796938e-7,5.397688265198828e-7
"OkasakiQueue/BST/Traverse a balanced tree of depth 3/setup",3.054415441858296e-5,1.7107841537770316e-5,4.260984565924955e-5,2.201228071453314e-5,1.844903293899549e-5,2.454241982998415e-5
"OkasakiQueue/BST/Traverse a balanced tree of depth 3/test",4.63396876065199e-6,4.482247846678269e-6,4.956917563253197e-6,3.521025230050353e-7,4.000916077834435e-8,5.468100721491636e-7
"OkasakiQueue/BST/Traverse a balanced tree of depth 4/setup",4.340184609919826e-5,2.3043318183133096e-5,7.812803044659976e-5,4.4211759311629395e-5,2.1070560027375988e-5,5.716868974723184e-5
"OkasakiQueue/BST/Traverse a balanced tree of depth 4/test",1.356609632893268e-4,8.317659003772971e-5,1.882473598245644e-4,9.021578987431454e-5,6.864915702275744e-5,1.1334327165115168e-4
"OkasakiQueue/BST/Traverse a balanced tree of depth 5/setup",1.4067773455676954e-4,2.439882608730931e-5,4.764924706629486e-4,2.893361533565831e-4,8.31423710201701e-5,4.778034068060699e-4
"OkasakiQueue/BST/Traverse a balanced tree of depth 5/test",3.6063052768057044e-5,3.5877086276357825e-5,3.655419504100626e-5,4.863842898653543e-7,1.393837055739951e-7,7.978378508658177e-7
"OkasakiQueue/BST/Traverse a balanced tree of depth 6/setup",5.208242068236524e-5,4.932868609374219e-5,5.7800492937817716e-5,6.504675420344178e-6,2.7330140124834376e-6,1.067689352731682e-5
"OkasakiQueue/BST/Traverse a balanced tree of depth 6/test",6.327605504881252e-5,6.250516830971745e-5,6.428536036700914e-5,1.5075424035586844e-6,9.812743982586963e-7,2.2494547689287797e-6
"OkasakiQueue/BST/Traverse a balanced tree of depth 7/setup",7.748363043774257e-4,1.1481420456460029e-4,1.76877951879393e-3,1.3919344857664594e-3,8.972658319564397e-6,1.7413331801316503e-3
"OkasakiQueue/BST/Traverse a balanced tree of depth 7/test",7.576417569206519e-4,4.483389500664039e-4,1.265205109505491e-3,6.661059759720549e-4,3.195850759974286e-4,9.177184486240591e-4
"OkasakiQueue/BST/Traverse a balanced tree of depth 8/setup",1.7796382437398813e-4,1.759849501674452e-4,1.8345813942273207e-4,5.368073963514259e-6,1.298810898773104e-6,8.998714170198778e-6
"OkasakiQueue/BST/Traverse a balanced tree of depth 8/test",4.6944547471675004e-4,4.6417642411860553e-4,4.8062730607661335e-4,1.2563776893696344e-5,5.810547687537585e-6,2.031833662925592e-5
"OkasakiQueue/BST/Traverse a balanced tree of depth 9/setup",7.974147089096632e-3,4.60908342179927e-3,9.953903444382278e-3,4.152649281881469e-3,1.1869892673592038e-3,5.22526214943332e-3
"OkasakiQueue/BST/Traverse a balanced tree of depth 9/test",4.161547906967726e-3,2.7456514912572775e-3,6.582092531296341e-3,3.071032657304583e-3,1.8592894311256164e-3,4.547777788974562e-3
"OkasakiQueue/BST/Traverse a balanced tree of depth 10/setup",1.5023785457918138e-3,1.0399736589103035e-3,2.597522499750961e-3,1.1551434747356266e-3,4.917433423771541e-4,1.8914434203837888e-3
"OkasakiQueue/BST/Traverse a balanced tree of depth 10/test",9.6400969105688e-3,8.308457620712844e-3,1.2406729944321243e-2,3.1486019304965696e-3,1.543912407538264e-3,5.032769907232576e-3
"OkasakiQueue/BST/Traverse a balanced tree of depth 11/setup",5.454372652145949e-3,3.0962460118261247e-3,8.63549638566646e-3,4.676159717474301e-3,3.479580519243584e-3,6.00511598859036e-3
"OkasakiQueue/BST/Traverse a balanced tree of depth 11/test",4.49609034138647e-2,3.705892492112788e-2,5.587551523027095e-2,1.5857229134166123e-2,1.1023639982953162e-2,2.2572714118519972e-2
"OkasakiQueue/BST/Traverse a balanced tree of depth 12/setup",3.2911055165258324e-3,3.25872827348384e-3,3.3606998997655784e-3,7.766038077579192e-5,3.4316782045691214e-5,1.251755440598968e-4
"OkasakiQueue/BST/Traverse a balanced tree of depth 12/test",0.12745411325273187,0.12119409967240963,0.13489179540452628,1.1395625743211424e-2,9.37269286181317e-3,1.3266464168345165e-2
"OkasakiQueue/BST/Traverse a balanced tree of depth 13/setup",7.046412714096633e-3,6.832622774216262e-3,7.8531735020605e-3,6.425405669178597e-4,2.9641736030346923e-5,1.062456987191985e-3
