Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"PairQueue/InsertsDeletes/Insert 262144 followed by as many deletes/setup",0.13365452583168563,0.13306601341103133,0.13417079742287213,7.165667003649193e-4,4.0264713822070366e-4,1.0057828755151723e-3
"PairQueue/InsertsDeletes/Insert 262144 followed by as many deletes/test",0.4881822853836876,0.4025718479904991,0.7418834000382286,0.18932953941412825,1.0862856175788812e-3,0.23312341585166932
"PairQueue/InsertsDeletes/Insert 524288 followed by as many deletes/setup",0.29757998283241804,0.27415859992836533,0.3326488285813194,3.600799907758526e-2,1.5215459470988678e-2,4.835240450975427e-2
"PairQueue/InsertsDeletes/Insert 524288 followed by as many deletes/test",0.913788774565206,0.8206742554459434,1.176736953810201,0.1969395215269946,7.713692591558909e-3,0.24909593219195586
"PairQueue/InsertsDeletes/Insert 1048576 followed by as many deletes/setup",0.6587567120346884,0.5329112797531944,1.0062462120804647,0.26142689554097653,2.847576780541759e-3,0.32649968686624314
"PairQueue/InsertsDeletes/Insert 1048576 followed by as many deletes/test",1.6758486538681845,1.645540836409078,1.7499391823563437,5.760740979849202e-2,4.470777228446159e-3,7.511730279589275e-2
"PairQueue/InsertsDeletes/Insert 2097152 followed by as many deletes/setup",1.0664109497818808,1.0618265419754844,1.0727518349442344,6.980147692549388e-3,3.294383424207174e-3,8.801971326713731e-3
"PairQueue/InsertsDeletes/Insert 2097152 followed by as many deletes/test",3.355227449491964,3.322582414701925,3.4487374573502403,7.013407254165091e-2,1.8466332573447881e-3,8.780267728439177e-2
"PairQueue/Inserts/Insert 0 into queue of size 262144/setup",0.7518663197312216,0.6544016629013878,0.9288627415451866,0.165620905952599,5.76552089537507e-2,0.22085330876697942
"PairQueue/Inserts/Insert 0 into queue of size 262144/test",0.7407367974076133,0.620179203108297,1.0871566086563926,0.2596341259971682,1.0194441963313351e-2,0.3261425307815205
"PairQueue/Inserts/Insert 0 into queue of size 524288/setup",1.3402498036179404,1.263081815794454,1.5709281712326866,0.17205210762860887,2.6173636786862677e-4,0.21113774915188557
"PairQueue/Inserts/Insert 0 into queue of size 524288/test",1.3617184906754356,1.2627558022293905,1.6512903004441122,0.2165146596374814,2.5569167174472685e-3,0.2680331705035254
"PairQueue/Inserts/Insert 0 into queue of size 1048576/setup",2.8053867607865195,2.643322637632833,3.0865852623734336,0.29461513121624594,3.115262723693367e-2,0.4180238391423815
"PairQueue/Inserts/Insert 0 into queue of size 1048576/test",2.5922901898178914,2.562070539549337,2.667101648405538,5.794108952538362e-2,6.065321243504964e-3,7.625236703297117e-2
"PairQueue/Inserts/Insert 0 into queue of size 2097152/setup",6.303781440809713,5.999638059690938,6.509494617537007,0.3193943486870709,0.1513370846550248,0.4670101140854973
"PairQueue/Inserts/Insert 0 into queue of size 2097152/test",6.29472658927773,5.893970182493673,6.779749038771139,0.5519015403443326,0.37211131156965754,0.6750051508662912
"PairQueue/BST/Traverse a balanced tree of depth 2/setup",1.7114272782435786e-6,1.5903106400599846e-6,1.7762771317592037e-6,1.1167562893514981e-7,4.6914573197360344e-8,1.5409293600466155e-7
"PairQueue/BST/Traverse a balanced tree of depth 2/test",2.3141028921045577e-6,2.2885363627599285e-6,2.339669421449187e-6,3.35013561705879e-8,2.3639874499642294e-8,3.99394404614247e-8
"PairQueue/BST/Traverse a balanced tree of depth 4/setup",1.0548733424611299e-5,1.0497602693189517e-5,1.0589906110962171e-5,5.958895134544305e-8,4.26170109443741e-8,7.552032803985865e-8
"PairQueue/BST/Traverse a balanced tree of depth 4/test",1.171244990912175e-5,1.1598873391350634e-5,1.190403500210559e-5,1.9994315549446026e-7,2.4090362541861034e-8,2.9299661692779563e-7
"PairQueue/BST/Traverse a balanced tree of depth 6/setup",4.581727437326004e-5,4.485560837263809e-5,4.674537530017606e-5,1.276874039257148e-6,1.0373775269552893e-6,1.3430787576204042e-6
"PairQueue/BST/Traverse a balanced tree of depth 6/test",5.0392259312789104e-5,4.936540998594162e-5,5.279743793466902e-5,1.9392911515905946e-6,3.3344916329758453e-7,2.618315104908121e-6
"PairQueue/BST/Traverse a balanced tree of depth 8/setup",2.279944606985037e-4,2.0093395197047636e-4,2.7588083231105254e-4,4.3831960559369784e-5,1.667894101485499e-5,5.8568374405161604e-5
"PairQueue/BST/Traverse a balanced tree of depth 8/test",1.469403061729211e-4,1.445084366660852e-4,1.4941985939557735e-4,3.378484646590872e-6,1.7357134555054946e-6,4.439965952676689e-6
"PairQueue/BST/Traverse a balanced tree of depth 10/setup",8.011701658711985e-4,7.89358909462507e-4,8.102062300191477e-4,1.3169002250144809e-5,6.902380514781488e-6,1.7681511470365415e-5
"PairQueue/BST/Traverse a balanced tree of depth 10/test",1.0116077082406763e-3,9.707374655920218e-4,1.0884579635710798e-3,7.2550453497908e-5,1.1693597075689295e-5,9.853532282557968e-5
"PairQueue/BST/Traverse a balanced tree of depth 12/setup",1.1714056089864328e-2,5.576637342916086e-3,2.147095496986921e-2,9.516120989021219e-3,4.10503305809456e-3,1.2723114199096759e-2
"PairQueue/BST/Traverse a balanced tree of depth 12/test",4.155744590037144e-3,4.120697058909215e-3,4.190410651438512e-3,4.7412863025354386e-5,2.7377108269834506e-5,6.183305525271801e-5
"PairQueue/BST/Traverse a balanced tree of depth 14/setup",1.657593543861921e-2,1.3962915495381907e-2,2.4336317137227607e-2,5.792188905260151e-3,3.2743126827624874e-5,7.1226194987307236e-3
"PairQueue/BST/Traverse a balanced tree of depth 14/test",2.033479507301862e-2,2.0050218657003e-2,2.0540979460225654e-2,3.095842344106047e-4,1.6811942027416656e-4,4.6502113992593204e-4
"PairQueue/BST/Traverse a balanced tree of depth 16/setup",6.562536056374128e-2,5.74377804550987e-2,8.943665321205671e-2,1.7776473934871494e-2,2.1282140361140734e-4,2.2080211857128985e-2
"PairQueue/BST/Traverse a balanced tree of depth 16/test",0.15736573036049423,0.1109318047318321,0.21530511672829206,6.305975658919925e-2,3.8141092418291785e-2,7.95195290379717e-2
"PairQueue/BST/Traverse a balanced tree of depth 18/setup",0.45838978584145124,0.2732023983750206,0.6435771733078819,0.23617042134734778,0.17747356544441462,0.2897967083184414
"PairQueue/BST/Traverse a balanced tree of depth 18/test",0.7240152626786095,0.590591219023214,0.9177066593918662,0.2133889905825578,0.11703737192532356,0.2938651535906661
"PairQueue/QueueSort/Run QueueSort with 96 queues of 96 elements/setup",4.0901926115499095e-2,2.3546722486959052e-2,6.231406028603133e-2,2.4465777755212078e-2,1.4508054264047884e-2,3.5164791519667185e-2
"PairQueue/QueueSort/Run QueueSort with 96 queues of 96 elements/test",3.050729063108907,3.0352120190415244,3.0675513058457238,2.0940939288707123e-2,1.6997941910203887e-2,2.4342505097251655e-2
"PairQueue/QueueSort/Run QueueSort with 128 queues of 128 elements/setup",4.297373588417586e-2,1.5756967619405343e-2,7.864177520607527e-2,4.014422985675429e-2,2.7336743374586237e-2,4.8873316985790366e-2
"PairQueue/QueueSort/Run QueueSort with 128 queues of 128 elements/test",21.851530292585835,21.50894468124245,22.19411590392922,0.4446662362437674,0.35178443952863553,0.5308334493701196
"PairQueue/QueueSort/Run QueueSort with 160 queues of 160 elements/setup",0.11170108611916121,4.904945190285261e-2,0.1756548195633751,8.22030621587738e-2,6.438881066871949e-2,9.911257643819832e-2
"PairQueue/QueueSort/Run QueueSort with 160 queues of 160 elements/test",
