Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"PairQueue/BST/Traverse a balanced tree of depth 2/setup",2.0497620292158257e-6,2.0044171910846965e-6,2.130349223312764e-6,8.493788370327996e-8,9.651001622885985e-9,1.1532858176421616e-7
"PairQueue/BST/Traverse a balanced tree of depth 2/test",2.336555349273875e-6,2.31672338194724e-6,2.356142645310668e-6,2.556874234602858e-8,1.6792643822327467e-8,3.2758485129414267e-8
"PairQueue/BST/Traverse a balanced tree of depth 4/setup",1.0644462875012359e-5,1.0597823776677801e-5,1.0692146590832672e-5,6.098564021515969e-8,4.8127231030425856e-8,7.48857204722991e-8
"PairQueue/BST/Traverse a balanced tree of depth 4/test",1.1925726092792859e-5,1.174967369740448e-5,1.2417314328551905e-5,3.675346390123943e-7,2.666238066937072e-8,4.821393412851617e-7
"PairQueue/BST/Traverse a balanced tree of depth 6/setup",2.1904227979244694e-4,6.742130896046995e-5,3.852306258075294e-4,1.9951217394145623e-4,1.2749444448151767e-4,2.457288999724055e-4
"PairQueue/BST/Traverse a balanced tree of depth 6/test",1.0557706312675562e-3,5.724978013230222e-5,2.057939286663064e-3,1.3663933513746898e-3,1.1133605642194317e-3,1.3736144666093508e-3
"PairQueue/BST/Traverse a balanced tree of depth 8/setup",1.3315419977264745e-3,1.9204424076846668e-4,4.174540502365147e-3,2.1689032157049663e-3,2.276554131716215e-6,2.7283808533099143e-3
"PairQueue/BST/Traverse a balanced tree of depth 8/test",2.454744859110741e-4,2.2306313947552725e-4,2.640870296529361e-4,2.6064226624275156e-5,1.4451653885182943e-5,3.4692675140032556e-5
"PairQueue/BST/Traverse a balanced tree of depth 10/setup",1.58791980396424e-2,7.84584010711738e-4,3.46376380573426e-2,2.1655863930826545e-2,1.564531337804098e-2,2.569042652559074e-2
"PairQueue/BST/Traverse a balanced tree of depth 10/test",3.01570507394416e-3,9.612998615418162e-4,8.628173793426583e-3,4.226998661805939e-3,3.69497264837583e-5,5.277944232627463e-3
"PairQueue/BST/Traverse a balanced tree of depth 12/setup",5.8776946986785955e-2,3.226356121408088e-2,8.686351391183478e-2,3.588230003239348e-2,2.774020380043635e-2,3.863305786487719e-2
"PairQueue/BST/Traverse a balanced tree of depth 12/test",3.127235981332405e-2,2.401804539071662e-2,3.3948512996307446e-2,5.3958806770493094e-3,1.1961043859853655e-3,7.20737061353329e-3
"PairQueue/BST/Traverse a balanced tree of depth 14/setup",1.4379545177093575e-2,1.4149709666839668e-2,1.461376758920295e-2,3.0368130735054056e-4,2.4073474697675586e-4,3.3417273155587196e-4
"PairQueue/BST/Traverse a balanced tree of depth 14/test",2.4807020152679514e-2,2.0866008723846502e-2,3.6434789622894356e-2,8.65823229542372e-3,4.386143774377266e-5,1.0779714984163394e-2
"PairQueue/BST/Traverse a balanced tree of depth 16/setup",8.154706570016486e-2,5.964722248422248e-2,0.12656039806710823,3.673470435095128e-2,1.7215619742881759e-3,4.708218248558703e-2
