Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"BasicQueue/Inserts/Insert 100 into queue of size 500/setup",2.112792240197842e-2,9.40626369531338e-3,3.163030849511807e-2,1.4121127129225015e-2,9.124024990443928e-3,1.849937931629523e-2
"BasicQueue/Inserts/Insert 100 into queue of size 500/test",1.1643583641602444e-2,6.314403877808497e-3,1.9602758751465724e-2,8.489641004124922e-3,4.119394962289849e-3,1.09944003966987e-2
"BasicQueue/Inserts/Insert 100 into queue of size 1000/setup",2.250536190087979e-2,1.2503368721558496e-2,4.2419750557496e-2,1.626778234349652e-2,3.66786663179363e-5,2.051551562051215e-2
"BasicQueue/Inserts/Insert 100 into queue of size 1000/test",1.6847307549073147e-2,1.6184742317749905e-2,1.8064434395386623e-2,1.1386928995504044e-3,3.1752636132213464e-4,1.5187295302832322e-3
"BasicQueue/Inserts/Insert 100 into queue of size 1500/setup",3.7450725899292873e-2,3.726027713830655e-2,3.7952835426880764e-2,3.8675987503466726e-4,2.9607133637900855e-5,5.073314037102629e-4
"BasicQueue/Inserts/Insert 100 into queue of size 1500/test",7.024696575219816e-2,4.3812639580323144e-2,0.148559362755372,5.841728869655984e-2,8.74028333225338e-5,7.179712237392792e-2
"BasicQueue/Inserts/Insert 100 into queue of size 2000/setup",9.666012035424894e-2,7.002490268762294e-2,0.1757728885274667,5.89926496014059e-2,4.091298038157667e-4,7.273865633036318e-2
"BasicQueue/Inserts/Insert 100 into queue of size 2000/test",9.706538425500576e-2,7.941196666772549e-2,0.14858754383142178,3.8632290059670775e-2,6.170538969505674e-4,4.810206878236365e-2
"BasicQueue/Inserts/Insert 100 into queue of size 2500/setup",0.13912113414819424,0.12254732357080166,0.18852575527246182,3.6835515829644394e-2,1.8053674460536098e-4,4.530593493004855e-2
"BasicQueue/Inserts/Insert 100 into queue of size 2500/test",0.15861595378930754,0.13562734829003995,0.19735735164697354,3.478733006782852e-2,1.6394952572168955e-2,4.314079859194915e-2
"BasicQueue/Inserts/Insert 100 into queue of size 3000/setup",0.2393435309987802,0.1938789199453134,0.2916189502340097,5.956891188087347e-2,4.183059868029756e-2,7.181618811007764e-2
"BasicQueue/Inserts/Insert 100 into queue of size 3000/test",0.2291253398519296,0.20758288608606046,0.27850459323938076,3.9258532820551015e-2,3.900770046373928e-3,5.147827112767256e-2
"BasicQueue/Inserts/Insert 100 into queue of size 3500/setup",0.2871495555501718,0.26935981021936123,0.33549769626672454,3.6427687323171545e-2,3.063611204241567e-4,4.5535376700014805e-2
"BasicQueue/Inserts/Insert 100 into queue of size 3500/test",0.31022475467736904,0.292342264519288,0.35946949230249114,3.7057426007312495e-2,3.5593416168638935e-4,4.623780543117504e-2
"BasicQueue/Inserts/Insert 100 into queue of size 4000/setup",0.5246333430867929,0.3732251475911874,0.9564266513448495,0.3231922980569497,8.156738294541069e-4,0.40004001822553237
"BasicQueue/Inserts/Insert 100 into queue of size 4000/test",0.39791897045190516,0.39681814418847744,0.39868539081628507,1.1755952161426782e-3,5.783287386874608e-4,1.7045551641261419e-3
"BasicQueue/Inserts/Insert 100 into queue of size 4500/setup",0.5045185874562997,0.49853838192041106,0.5128161738973398,9.033851922989238e-3,4.793310918682979e-3,1.1518577553582354e-2
"BasicQueue/Inserts/Insert 100 into queue of size 4500/test",0.5302608798604745,0.5276372264486093,0.5337701629262704,3.898698677586039e-3,2.1480803208018457e-3,5.350289560209313e-3
"BasicQueue/Inserts/Insert 100 into queue of size 5000/setup",0.6443787406545419,0.6407789062124032,0.6477031062703866,4.362304577155474e-3,2.4610300820889245e-3,5.886872504313681e-3
"BasicQueue/Inserts/Insert 100 into queue of size 5000/test",0.79797766910608,0.682829267845704,1.0852330993276376,0.21961256232642387,5.025485003457043e-3,0.27978549920579276
"BasicQueue/Inserts/Insert 100 into queue of size 5500/setup",0.8137211154561776,0.811156494484498,0.818254597054078,4.359156541149179e-3,1.2787664893166857e-3,6.002572793551079e-3
"BasicQueue/Inserts/Insert 100 into queue of size 5500/test",0.8624545882802743,0.8574167083364267,0.8688014339071054,7.13940938053111e-3,3.912393527711577e-3,9.985614014803777e-3
"BasicQueue/Inserts/Insert 100 into queue of size 6000/setup",1.2493545364003915,1.1056526492696541,1.5038813899617929,0.2606921307135534,6.122073171295033e-2,0.3582894513257066
"BasicQueue/Inserts/Insert 100 into queue of size 6000/test",1.2825825523000498,1.0902131389241951,1.607809097633912,0.32607733111838183,8.82977531246064e-2,0.43469055721809247
"BasicQueue/Inserts/Insert 100 into queue of size 6500/setup",1.3420003245931404,1.2235608409505625,1.696740228996827,0.26444605599146626,2.873572205653186e-4,0.32417745408575943
"BasicQueue/Inserts/Insert 100 into queue of size 6500/test",1.3697423289876718,1.2709330390554208,1.664538080559327,0.2200171487963203,2.3358187114060438e-4,0.27051406677320045
"BasicQueue/Inserts/Insert 100 into queue of size 7000/setup",1.481206781731202,1.4734623263936777,1.4894100020986336,1.0518395510753144e-2,5.767394078858886e-3,1.3936922538218224e-2
"BasicQueue/Inserts/Insert 100 into queue of size 7000/test",1.5585566829305428,1.5361957381826181,1.6123914550405283,4.1946972648944945e-2,5.041922450384782e-3,5.569793641675614e-2
"BasicQueue/Inserts/Insert 100 into queue of size 7500/setup",1.7618707965474862,1.7520961116414804,1.7758092712026377,1.5023965907635167e-2,7.515741619120076e-3,1.9297006140970206e-2
"BasicQueue/Inserts/Insert 100 into queue of size 7500/test",1.8386518310170907,1.8232810805898447,1.8817829917531748,3.2608815258974216e-2,1.0748136168090314e-3,4.1394063751272574e-2
"BasicQueue/Inserts/Insert 100 into queue of size 8000/setup",2.0676303218465586,2.0594324897390144,2.0898946593862315,1.6810147152113167e-2,1.1470450578150294e-3,2.1598867312965266e-2
"BasicQueue/Inserts/Insert 100 into queue of size 8000/test",2.132702715263917,2.130572540627076,2.134566385613038,2.482453272258481e-3,1.5521962366785253e-3,3.810535485267817e-3
"BasicQueue/Inserts/Insert 100 into queue of size 8500/setup",2.4145668815236827,2.406729633675172,2.4336171935659188,1.4790959030342695e-2,1.731297611478886e-3,1.9642539961875576e-2
"BasicQueue/Inserts/Insert 100 into queue of size 8500/test",2.5061459849935313,2.4871878455739753,2.556408197746827,3.804487230918789e-2,3.4909631265625236e-3,4.9618186567968826e-2
"BasicQueue/Inserts/Insert 100 into queue of size 9000/setup",2.791700966225221,2.7816281627279063,2.805559570656373,1.5173583826274904e-2,7.391514640065998e-3,1.943320862593026e-2
"BasicQueue/Inserts/Insert 100 into queue of size 9000/test",2.902691490517213,2.8804317306142586,2.9512262176137702,4.033570867559825e-2,9.309175734535257e-3,5.5173628672638586e-2
"BasicQueue/Inserts/Insert 100 into queue of size 9500/setup",3.25568726764734,3.2477453540426033,3.267506201134278,1.215505813879804e-2,5.1902300995176655e-3,1.637459443347163e-2
"BasicQueue/Inserts/Insert 100 into queue of size 9500/test",3.389611322746827,3.3768099139791268,3.4024647067647713,1.6926089266770247e-2,9.34051706727506e-3,2.3419514528030514e-2
"BasicQueue/Inserts/Insert 100 into queue of size 10000/setup",3.946560890541627,3.9254454921346444,3.99748128162439,3.963014493530584e-2,7.215858783736936e-3,5.5091097540812116e-2
"BasicQueue/Inserts/Insert 100 into queue of size 10000/test",4.120251924858643,4.085039503441407,4.167222959862305,5.153441290394984e-2,2.8438732536530276e-2,6.825011192667485e-2
"BasicQueue/Inserts/Insert 100 into queue of size 10500/setup",4.79677384601648,4.771909267769409,4.821467859612061,3.2813736560898e-2,1.79946027423934e-2,4.473526871789569e-2
"BasicQueue/Inserts/Insert 100 into queue of size 10500/test",4.975958139763428,4.959623606072022,5.015846617088868,3.1377154966371314e-2,3.830309334685071e-3,4.078957544553904e-2
"BasicQueue/Inserts/Insert 100 into queue of size 11000/setup",5.794823295937134,5.77935531841333,5.832690842018677,2.999284018286753e-2,4.138260189927257e-3,4.05670547989696e-2
"BasicQueue/Inserts/Insert 100 into queue of size 11000/test",5.995762379036499,5.97282078968103,6.0469714473348395,4.1199548999201765e-2,4.071332306847267e-3,5.441713682664282e-2
"BasicQueue/Inserts/Insert 100 into queue of size 11500/setup",6.908765537605835,6.881374771462037,6.949687988625122,4.184967054479023e-2,1.690811880435868e-2,5.776617702730006e-2
"BasicQueue/Inserts/Insert 100 into queue of size 11500/test",7.148906595573975,7.124598963127686,7.21312602268274,4.881369548693534e-2,2.0423832945350873e-3,6.2486383183930995e-2
"BasicQueue/Inserts/Insert 100 into queue of size 12000/setup",8.162792522774293,8.11873634563501,8.20465229259546,5.355256233326803e-2,3.402096729703996e-2,8.136746898492252e-2
"BasicQueue/Inserts/Insert 100 into queue of size 12000/test",8.558823521004273,8.41142638431604,8.77580445514734,0.22965945809200186,0.11004093185138313,0.30352142660156844
"BasicQueue/Inserts/Insert 100 into queue of size 12500/setup",9.476246340141847,9.359252769814088,9.762595255241944,0.2204059476290569,1.6351569355209455e-2,0.288975575791664
"BasicQueue/Inserts/Insert 100 into queue of size 12500/test",9.654281980858398,9.626763803825929,9.725779993401124,5.5085071273656444e-2,4.932526579899035e-3,7.137036329353534e-2
"BasicQueue/Inserts/Insert 100 into queue of size 13000/setup",10.752952844963623,10.741453392372682,10.765324146614624,1.5551182123253491e-2,1.157225415916577e-2,1.925678527292831e-2
"BasicQueue/Inserts/Insert 100 into queue of size 13000/test",11.10410092578943,11.056882650719238,11.132441503868653,4.852382933268352e-2,2.192950239775524e-2,7.241832584560096e-2
"BasicQueue/Inserts/Insert 100 into queue of size 13500/setup",12.30440414653833,12.281066305504394,12.330248577461793,3.148376707460069e-2,2.2591048522892607e-2,4.1113301198382725e-2
"BasicQueue/Inserts/Insert 100 into queue of size 13500/test",12.790215952263429,12.77234185443933,12.801463301048829,1.9399398346334938e-2,1.0043780898509524e-2,2.9741764870174315e-2
"BasicQueue/Inserts/Insert 100 into queue of size 14000/setup",14.719431526527954,14.332503874168946,15.216084368095947,0.5459035922631593,0.2850624362858312,0.7421235938239691
"BasicQueue/Inserts/Insert 100 into queue of size 14000/test",14.75231993900354,14.559827930794311,14.91561740146692,0.22802500789940358,0.17418185441346543,0.28187123850567963
"BasicQueue/Inserts/Insert 100 into queue of size 14500/setup",15.967522985802248,15.814774591789796,16.35363901363428,0.29460076007484426,3.766749775545438e-2,0.39471414847806374
"BasicQueue/Inserts/Insert 100 into queue of size 14500/test",16.73761027561243,16.265831644402102,17.085888368950442,0.5187342606974387,0.3017051683512499,0.6997775491375491
"BasicQueue/Inserts/Insert 100 into queue of size 15000/setup",17.255522806511475,17.212627441750126,17.29841817127283,5.6572461032473396e-2,3.141871073269766e-2,7.559877792729038e-2
"BasicQueue/Inserts/Insert 100 into queue of size 15000/test",17.62926805721338,17.60024831996973,17.656620867119386,3.700047070421783e-2,2.1113082802848872e-2,5.075573196249138e-2
"BasicQueue/Inserts/Insert 100 into queue of size 15500/setup",19.265138513908937,19.17414968715723,19.5219671081167,0.19302231888335056,9.738997065914691e-3,0.2433000789896721
"BasicQueue/Inserts/Insert 100 into queue of size 15500/test",19.573413307533816,19.537369711266116,19.609456903801515,4.7732404152916505e-2,3.526972388792555e-2,5.537747534476001e-2
"BasicQueue/Inserts/Insert 100 into queue of size 16000/setup",21.250085766182497,21.175470239983156,21.348132116661624,0.11164071754788221,5.99899858722138e-2,0.15640694178940953
"BasicQueue/Inserts/Insert 100 into queue of size 16000/test",21.64918344722803,21.603893024788455,21.69052327381189,5.6735769936469185e-2,3.0454019873124866e-2,8.051473434754079e-2
"BasicQueue/Inserts/Insert 100 into queue of size 16500/setup",23.237894947395876,23.207951004372195,23.257355768547608,3.12351414586948e-2,1.5212569683467684e-2,4.675297206891944e-2
"BasicQueue/Inserts/Insert 100 into queue of size 16500/test",23.84001105533655,23.56758902774866,24.120414621697023,0.3709100846406377,0.29382208051863984,0.3899499344236068
"BasicQueue/Inserts/Insert 100 into queue of size 17000/setup",26.220244152412967,25.48899114833887,26.82687800632532,0.9159874333981131,0.5994515466972179,1.0220349791232435
"BasicQueue/Inserts/Insert 100 into queue of size 17000/test",27.079819185600833,26.18625457988794,27.973383791313722,1.1422994863123095,0.7754673873078931,1.4453713681152367
"BasicQueue/Inserts/Insert 100 into queue of size 17500/setup",29.48275678859766,28.91301391826685,30.916187555656986,1.1363378686510128,0.14448345082009076,1.5358916963243683
"BasicQueue/Inserts/Insert 100 into queue of size 17500/test",29.742544109688357,29.290389664040163,30.37533639179285,0.68775729580329,0.33346599560657,0.8761124945821446
"BasicQueue/Inserts/Insert 100 into queue of size 18000/setup",31.565238363609865,31.26499293552454,31.763102133141114,0.30788379675714167,0.18185310045946626,0.403134674494548
"BasicQueue/Inserts/Insert 100 into queue of size 18000/test",30.975411255226685,30.623852236137942,31.89008973346765,0.7067133928547437,3.692723010356307e-2,0.9336319923246014
"BasicQueue/Inserts/Insert 100 into queue of size 18500/setup",33.10937774883325,32.99463937984521,33.40571697460229,0.23014308643202197,2.3442279507834687e-2,0.3037559612736569
"BasicQueue/Inserts/Insert 100 into queue of size 18500/test",34.626787168846676,33.881513578758785,35.31163819538171,0.9421779049091135,0.6056303499243518,1.230832343869133
"BasicQueue/Inserts/Insert 100 into queue of size 19000/setup",37.02922590480859,36.424385149345945,37.60844434009607,0.7674621451180557,0.4585805778609196,1.1381011737900362
"BasicQueue/Inserts/Insert 100 into queue of size 19000/test",37.174868519173216,35.900045521126344,40.01585629688318,2.266028801542529,0.1393023335605745,2.9537817645882787
"BasicQueue/Inserts/Insert 100 into queue of size 19500/setup",38.56336439357813,38.05262377964075,39.0741050075155,0.6659877378025083,0.4573795082628487,0.8815496246528988
"BasicQueue/Inserts/Insert 100 into queue of size 19500/test",40.759262783394405,39.84757159458215,42.33633316265161,1.531337121951048,0.395527801868121,2.1735532076733333
"BasicQueue/Inserts/Insert 100 into queue of size 20000/setup",40.57633345829065,40.520832998619625,40.6291306804281,7.091093264420113e-2,3.9406698723139635e-2,9.97776572204625e-2
"BasicQueue/Inserts/Insert 100 into queue of size 20000/test",41.953073532448364,41.08981536136682,43.00515254245813,1.2157687838766482,0.7930853450599672,1.4594703494107277
"BasicQueue/Inserts/Insert 100 into queue of size 20500/setup",43.48267176853235,43.425307781563355,43.57620757328088,9.2921973978242e-2,3.1389784478736714e-2,0.12714560735276162
"BasicQueue/Inserts/Insert 100 into queue of size 20500/test",43.692151386604856,43.62271254764612,43.8175002406698,0.1249809943519141,2.5361956651542065e-2,0.1735941805794549
"BasicQueue/Inserts/Insert 100 into queue of size 21000/setup",46.14593432651574,46.09616521106775,46.1797597240072,5.4331589622099795e-2,3.506164608753628e-2,6.858245643695608e-2
"BasicQueue/Inserts/Insert 100 into queue of size 21000/test",46.52076748119409,46.4779485534292,46.56358640895898,5.594440634671085e-2,3.434696521077538e-2,7.333935760631355e-2
"BasicQueue/Inserts/Insert 100 into queue of size 21500/setup",48.91518524395044,48.86110270725305,48.943860609398435,4.9187081157878704e-2,1.6985589270633008e-2,7.164916703791666e-2
"BasicQueue/Inserts/Insert 100 into queue of size 21500/test",50.15142749057824,50.06867378459985,50.20698402629907,8.647593890139675e-2,4.617460103521826e-2,0.1214940530439398
"BasicQueue/Inserts/Insert 100 into queue of size 22000/setup",52.35269573436792,52.252448303566524,52.45294316516931,0.12621539361612813,0.10094990475380822,0.14984206036667536
"BasicQueue/Inserts/Insert 100 into queue of size 22000/test",53.07145088420923,53.01375849948938,53.15056131588037,8.569680580451489e-2,4.3507897059545046e-2,0.11725923963572356
"BasicQueue/Inserts/Insert 100 into queue of size 22500/setup",55.44131897197778,55.38556192623193,55.50856283412988,7.807253573745701e-2,5.563551571895086e-2,9.661156973450233e-2
"BasicQueue/Inserts/Insert 100 into queue of size 22500/test",55.587171966896605,55.43114073978479,55.67787512050683,0.14536943323728385,6.86115773901163e-2,0.20617373662955912
"BasicQueue/Inserts/Insert 100 into queue of size 23000/setup",58.31460054622705,58.278476555214475,58.34805019603784,4.452853546142146e-2,2.624321569016341e-2,5.6447768313822894e-2
"BasicQueue/Inserts/Insert 100 into queue of size 23000/test",59.40999472843225,59.31627128826196,59.511470539436885,0.12931399070351726,7.004811110942806e-2,0.1822147662382784
"BasicQueue/Inserts/Insert 100 into queue of size 23500/setup",61.894448358879636,61.82106035457666,61.98554800258691,0.1053626025965646,5.742846969984046e-2,0.1552175532630278
"BasicQueue/Inserts/Insert 100 into queue of size 23500/test",62.605940134392334,62.55573847995813,62.64021852718408,5.312715411889217e-2,2.6175616731964037e-2,7.90737042214294e-2
"BasicQueue/Inserts/Insert 100 into queue of size 24000/setup",65.60902469860132,65.53317988620813,65.74378369556482,0.1384796307367514,1.8516654756947734e-2,0.1974879879410184
"BasicQueue/Inserts/Insert 100 into queue of size 24000/test",66.16403215633447,66.11427376972253,66.23432772861536,7.28801556041405e-2,3.658508099822961e-2,0.10251006450263331
"BasicQueue/Inserts/Insert 100 into queue of size 24500/setup",69.45876477466638,69.39049604641015,69.58081901775415,0.11666878446704153,3.419433349974878e-2,0.15919223690131076
"BasicQueue/Inserts/Insert 100 into queue of size 24500/test",69.38249433742578,69.32308777080591,69.44830334888513,7.92440239096562e-2,5.4154308681855466e-2,0.10555823171637975
"BasicQueue/Inserts/Insert 100 into queue of size 25000/setup",72.7088501285177,72.67006872402246,72.81506942020471,8.06065652822636e-2,3.3126063623985166e-3,0.10310501994029198
"BasicQueue/Inserts/Insert 100 into queue of size 25000/test",73.72688358532007,73.58485134349878,73.84547074543055,0.16783763455543763,0.12054603698575536,0.21924460463253762
"BasicQueue/Inserts/Insert 100 into queue of size 25500/setup",76.93170693622643,76.86607831226404,76.97649934993798,7.126925486402236e-2,4.110395693792469e-2,9.559951867175985e-2
"BasicQueue/Inserts/Insert 100 into queue of size 25500/test",77.77207177387292,77.62436197506005,77.95055659519251,0.20636522306775062,0.1382754327328447,0.2566058734264407
"BasicQueue/Inserts/Insert 100 into queue of size 26000/setup",81.71815012203271,81.65798128353174,81.7783189605337,7.538997953111273e-2,4.514084277688357e-2,8.628603714985096e-2
"BasicQueue/Inserts/Insert 100 into queue of size 26000/test",81.36400950656946,81.24925063358361,81.49106691585595,0.1545747640629226,8.983112808239742e-2,0.23278872077117782
"BasicQueue/Inserts/Insert 100 into queue of size 26500/setup",86.15274575458581,86.04696992145593,86.26936238514001,0.14093710957129565,9.832660715585129e-2,0.18377306370043403
"BasicQueue/Inserts/Insert 100 into queue of size 26500/test",86.39787753330286,86.27453368412073,86.52732260929163,0.162367487253998,0.10053318198202366,0.21976395006176686
"BasicQueue/Inserts/Insert 100 into queue of size 27000/setup",89.82622411953027,89.7098287891012,89.91845648990686,0.1330628745555054,9.367489650371869e-2,0.17083461115263243
"BasicQueue/Inserts/Insert 100 into queue of size 27000/test",90.79423125492151,90.70897086368616,90.90538643108422,0.12314829495360152,7.051572116397323e-2,0.16325689514375236
"BasicQueue/Inserts/Insert 100 into queue of size 27500/setup",93.98529871212061,93.91177824245507,94.09120653377587,0.11300820576845283,4.2772442880153444e-2,0.15980521337724793
"BasicQueue/Inserts/Insert 100 into queue of size 27500/test",95.0517899345022,94.94349234806116,95.19480908618982,0.1529462163893267,7.733763738299135e-2,0.2135487812514229
"BasicQueue/Inserts/Insert 100 into queue of size 28000/setup",100.06280573116358,99.96500089870507,100.1595533202749,0.12683971773267327,8.688257714318139e-2,0.15636946325327958
"BasicQueue/Inserts/Insert 100 into queue of size 28000/test",100.73283675418908,100.6125523398977,100.86498969303186,0.16662015355301188,8.834418471918354e-2,0.2304427211141238
"BasicQueue/Inserts/Insert 100 into queue of size 28500/setup",105.31448591457422,105.20610626445826,105.37924717174585,0.10631492926515083,4.9739001241239804e-2,0.13799714531557125
"BasicQueue/Inserts/Insert 100 into queue of size 28500/test",105.30200851665552,105.2452074836355,105.38481891857202,8.871821814449311e-2,4.036823765710607e-2,0.13260741841072346
"BasicQueue/Inserts/Insert 100 into queue of size 29000/setup",109.40869167553002,109.34215701328333,109.48042786823328,9.244548862841567e-2,5.018466304791958e-2,0.12956160176718726
"BasicQueue/Inserts/Insert 100 into queue of size 29000/test",110.87854097591455,110.74703758464868,110.97295416103418,0.14088883968772234,7.588694631930118e-2,0.1949574685224605
"BasicQueue/Inserts/Insert 100 into queue of size 29500/setup",114.41705373035485,114.3085463355642,114.50907290683801,0.13058893348650422,8.260398259728789e-2,0.19334001504334716
"BasicQueue/Inserts/Insert 100 into queue of size 29500/test",117.52347434269006,117.47796114193018,117.56764481769616,5.963146187646763e-2,4.6780294627746494e-2,6.724289259158675e-2
"BasicQueue/Inserts/Insert 100 into queue of size 30000/setup",120.77189696537073,120.64401262508447,121.04040210948999,0.22531046842858682,4.3277131664143105e-2,0.3069485579680993
"BasicQueue/Inserts/Insert 100 into queue of size 30000/test",121.76460617290552,121.72167719112451,121.83571136699732,7.14582668278782e-2,2.330770787875917e-2,0.1010335146489005
