Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"PairQueue/Inserts/Insert 100 into queue of size 32768/setup",7.568610544239239e-2,6.952408189808088e-2,9.362285966907696e-2,1.339184126205624e-2,3.1088363872518686e-4,1.6742197496906478e-2
"PairQueue/Inserts/Insert 100 into queue of size 32768/test",0.11160491342579083,7.43414723399754e-2,0.21030910844837383,7.51973931596908e-2,2.9633637717078934e-3,9.537516672928079e-2
"PairQueue/Inserts/Insert 100 into queue of size 65536/setup",0.19226597185169414,0.14569590921436504,0.24180520410572248,6.352565589060867e-2,4.929297472840912e-2,6.816627492250961e-2
"PairQueue/Inserts/Insert 100 into queue of size 65536/test",0.16743472452198224,0.14700787897144513,0.191538366031992,2.85243439591149e-2,2.1789310211344278e-2,3.3655464270224915e-2
"PairQueue/Inserts/Insert 100 into queue of size 131072/setup",0.431244119358408,0.33870437974964335,0.6681388699535007,0.18211722568747402,2.268083306463714e-2,0.2431109886749816
"PairQueue/Inserts/Insert 100 into queue of size 131072/test",0.4325760685924168,0.34142111177478984,0.656820234012949,0.17443173347329993,2.3197315549182813e-2,0.23332922133229922
"PairQueue/Inserts/Insert 100 into queue of size 262144/setup",0.7395784699443455,0.6329258286479588,0.9575558983806247,0.17690612435131314,3.4347054260971256e-3,0.225133174770892
"PairQueue/Inserts/Insert 100 into queue of size 262144/test",0.7363518082622166,0.622038682651865,1.072182735157358,0.2513680383024186,1.6277898575268908e-3,0.3115696484141984
"PairQueue/Inserts/Insert 100 into queue of size 524288/setup",1.2982693516734714,1.2802011811259861,1.3416178547862645,3.365407345523722e-2,5.343561845054345e-3,4.418523528869939e-2
"PairQueue/Inserts/Insert 100 into queue of size 524288/test",1.369855722141611,1.285048183155405,1.6083281361583348,0.17952122614156238,7.478118714151949e-3,0.22524587155374964
"PairQueue/Inserts/Insert 100 into queue of size 1048576/setup",2.6215749585155126,2.6090617501262305,2.636838945103037,1.7799276060367956e-2,1.1775037066739637e-2,2.2410075209966077e-2
"PairQueue/Inserts/Insert 100 into queue of size 1048576/test",2.687146791172373,2.656763013553965,2.7395022713664647,5.0276511199500745e-2,1.2920586689241594e-2,7.103527645134215e-2
"PairQueue/Inserts/Insert 100 into queue of size 2097152/setup",6.168415149402964,6.019807513904917,6.299121984196055,0.17923887167691288,0.11037643808600743,0.2590761921301697
"PairQueue/Inserts/Insert 100 into queue of size 2097152/test",5.9544678055766695,5.84006498689686,6.0634292447093605,0.1446809357727251,0.10678165530576177,0.1794011336966204
"PairQueue/Inserts/Insert 100 into queue of size 4194304/setup",18.64955576295887,18.150558742237436,19.827334150028573,0.934179412983307,0.1435932226074182,1.2301185540486232
"PairQueue/Inserts/Insert 100 into queue of size 4194304/test",16.13316777582203,15.02073281641041,17.282126458835947,1.4750622407206582,1.1468825222965577,1.8178019804129837
