Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"PairQueue/InsertsDeletes/Insert 1 followed by as many deletes/setup",3.6459065667487367e-7,3.179161200253615e-7,3.814944077857782e-7,3.400134528615122e-8,5.077334761619096e-9,4.629282894947683e-8
"PairQueue/InsertsDeletes/Insert 1 followed by as many deletes/test",2.700193756371322e-6,5.314464404474706e-7,5.116896394560799e-6,2.999757792770062e-6,2.3466195730588924e-6,3.3113303835226775e-6
"PairQueue/InsertsDeletes/Insert 2 followed by as many deletes/setup",9.32743249930476e-7,8.724141288097493e-7,9.903061886417374e-7,7.571980208222771e-8,4.481872908394052e-8,8.946307736950105e-8
"PairQueue/InsertsDeletes/Insert 2 followed by as many deletes/test",7.741732405615852e-7,7.586399088928471e-7,7.900678125016894e-7,2.0258462635401425e-8,1.3248213002820599e-8,2.5721727889838197e-8
"PairQueue/InsertsDeletes/Insert 4 followed by as many deletes/setup",1.6286124994149018e-6,1.6054931220474776e-6,1.6459520324404701e-6,2.7320847946497916e-8,1.73996355732893e-8,3.165751124903163e-8
"PairQueue/InsertsDeletes/Insert 4 followed by as many deletes/test",2.3845240636395077e-6,2.258885328882289e-6,2.722061920212883e-6,2.533180237762643e-7,1.7124754950195033e-8,3.357769259080526e-7
"PairQueue/InsertsDeletes/Insert 8 followed by as many deletes/setup",3.9609944652962654e-6,3.922777369528514e-6,4.007188064997193e-6,5.120303196237756e-8,2.757392541654682e-8,6.617380051296909e-8
"PairQueue/InsertsDeletes/Insert 8 followed by as many deletes/test",1.6139843275104716e-5,4.53054142753463e-6,5.08664910448083e-5,2.587913606794963e-5,4.5321451766077007e-8,3.1793382494002676e-5
"PairQueue/InsertsDeletes/Insert 16 followed by as many deletes/setup",1.3395507518094455e-5,7.958608228291292e-6,2.8944774912727688e-5,1.1631939097829835e-5,2.0825207252005424e-8,1.4385947017491623e-5
"PairQueue/InsertsDeletes/Insert 16 followed by as many deletes/test",1.269412273053375e-4,8.280372359211492e-5,1.9231795064650415e-4,7.107754730891357e-5,3.298547264180095e-5,1.0676664287869116e-4
"PairQueue/InsertsDeletes/Insert 32 followed by as many deletes/setup",8.076592956024868e-5,1.8097606043402965e-5,2.6732399735886317e-4,1.381339769941416e-4,8.557535914461589e-7,1.707019998166047e-4
"PairQueue/InsertsDeletes/Insert 32 followed by as many deletes/test",1.3918267648953657e-5,1.3208972376126508e-5,1.4651404779690963e-5,9.322459888229998e-7,4.969040155569632e-7,1.1752851051203001e-6
"PairQueue/InsertsDeletes/Insert 64 followed by as many deletes/setup",6.205703345956383e-5,3.182130015485889e-5,1.5024551138445572e-4,6.586568133929204e-5,1.2735472315205315e-7,8.118794884894517e-5
"PairQueue/InsertsDeletes/Insert 64 followed by as many deletes/test",1.625500170084146e-4,4.2510876983921814e-5,5.176468032613285e-4,2.6502984166595575e-4,2.5256064215317397e-6,3.2685774021163754e-4
"PairQueue/InsertsDeletes/Insert 128 followed by as many deletes/setup",6.369740188199507e-5,6.293446242887008e-5,6.55332249410771e-5,1.4588058406029347e-6,1.6166875667234016e-7,1.9909019812725245e-6
"PairQueue/InsertsDeletes/Insert 128 followed by as many deletes/test",6.676186689963707e-5,6.089676985373864e-5,7.224549421897301e-5,7.605141595714843e-6,4.3975141951387565e-6,9.92462977657142e-6
"PairQueue/InsertsDeletes/Insert 256 followed by as many deletes/setup",3.912740625178798e-4,1.273398462610108e-4,7.365954914957169e-4,3.8868497439179585e-4,2.4954777730131536e-4,4.729891745369172e-4
"PairQueue/InsertsDeletes/Insert 256 followed by as many deletes/test",1.5316213668796293e-4,1.521033635693405e-4,1.5433087429408938e-4,1.411250057797607e-6,7.798890621748524e-7,2.081400605666565e-6
"PairQueue/InsertsDeletes/Insert 512 followed by as many deletes/setup",8.113131488592197e-3,5.99726196649747e-3,9.571474358668695e-3,2.2663702841028387e-3,1.1558496109403005e-3,3.036762595318986e-3
"PairQueue/InsertsDeletes/Insert 512 followed by as many deletes/test",4.171633202296037e-4,3.446363884669084e-4,5.013966042261858e-4,9.858250034886542e-5,6.149000737842305e-5,1.3313368496334956e-4
"PairQueue/InsertsDeletes/Insert 1024 followed by as many deletes/setup",5.489872849904574e-4,5.316304124318637e-4,5.631493485890902e-4,2.0394615682336122e-5,1.4761364351547434e-5,2.624803401435337e-5
"PairQueue/InsertsDeletes/Insert 1024 followed by as many deletes/test",6.964297633904677e-4,6.839583042618279e-4,7.147706544482625e-4,1.9542293652728466e-5,7.245806313490115e-6,2.8931008092708796e-5
"PairQueue/InsertsDeletes/Insert 2048 followed by as many deletes/setup",5.588043902241266e-3,1.0823857525220286e-3,1.5174783442341364e-2,7.646234933086754e-3,5.784767578930582e-5,9.704002644893562e-3
"PairQueue/InsertsDeletes/Insert 2048 followed by as many deletes/test",1.4158018257373417e-3,1.4059710329923875e-3,1.425433936333045e-3,1.298622761566772e-5,8.512151727854372e-6,1.614928792591231e-5
"PairQueue/InsertsDeletes/Insert 4096 followed by as many deletes/setup",3.364935387739768e-2,1.3059000865312724e-2,4.828429688582053e-2,2.195583752732662e-2,1.1731695919310834e-2,3.0504263728929584e-2
"PairQueue/InsertsDeletes/Insert 4096 followed by as many deletes/test",3.441095818647971e-2,1.4516072169634013e-2,4.877806176313987e-2,2.1483268759397586e-2,1.099557568180382e-2,3.0555976273554875e-2
"PairQueue/InsertsDeletes/Insert 8192 followed by as many deletes/setup",1.1284592099831655e-2,5.696895070717885e-3,2.1482040830300402e-2,9.562175825290974e-3,2.1783256487235246e-3,1.258893581626219e-2
"PairQueue/InsertsDeletes/Insert 8192 followed by as many deletes/test",9.10358895430198e-3,6.347756282182841e-3,1.725764741072288e-2,6.0817856706191446e-3,4.518406356768449e-5,7.503803634491409e-3
