Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"BasicQueue/Inserts/Insert 100 into queue of size 1000/setup",1.2591695077988236e-2,1.2353300340744583e-2,1.3175963647934524e-2,5.851257398842635e-4,2.360351278312891e-4,9.424822936707469e-4
"BasicQueue/Inserts/Insert 100 into queue of size 1000/test",0.1298086636143652,6.689052511033688e-2,0.24839582372483882,0.14218472542917515,5.7319941909940664e-2,0.21472923321080303
"BasicQueue/Inserts/Insert 100 into queue of size 2000/setup",0.16882829595384274,8.849577832994136e-2,0.3234142057972876,0.1774719849248573,7.17689000007129e-2,0.26745374783945464
"BasicQueue/Inserts/Insert 100 into queue of size 2000/test",9.64473240452734e-2,8.319265771684323e-2,0.13727626729783685,3.584110085834401e-2,7.976508892279438e-3,5.9050521077446835e-2
"BasicQueue/Inserts/Insert 100 into queue of size 3000/setup",0.19710702825364743,0.1877506010609594,0.23178470063981688,2.766377069046659e-2,1.3279298132720951e-3,4.5810948960469104e-2
"BasicQueue/Inserts/Insert 100 into queue of size 3000/test",0.21221084523973138,0.20445115495500238,0.24110870290574704,2.3036346850896134e-2,1.1884759284651494e-3,3.810717658338896e-2
"BasicQueue/Inserts/Insert 100 into queue of size 4000/setup",0.3864688150959936,0.37178330350694333,0.44181408811387696,4.419368047438801e-2,2.68744978900316e-3,7.298389663849625e-2
"BasicQueue/Inserts/Insert 100 into queue of size 4000/test",0.40626754689988764,0.39654300142106685,0.4416391365605322,2.8533238764198197e-2,2.2244418018018044e-3,4.735676240841475e-2
"BasicQueue/Inserts/Insert 100 into queue of size 5000/setup",0.7124048225956885,0.6349809639531103,1.0173950426655736,0.24147360624802428,4.124036571558966e-3,0.3966253603560813
"BasicQueue/Inserts/Insert 100 into queue of size 5000/test",0.7479668371754614,0.682356285341355,0.984211491830918,0.1896588594068951,2.3695922181742386e-2,0.3143817652059392
"BasicQueue/Inserts/Insert 100 into queue of size 6000/setup",1.1895731203633275,1.0577507488804787,1.5611424439030612,0.3537670702854338,8.38083245747501e-2,0.5853619217523246
"BasicQueue/Inserts/Insert 100 into queue of size 6000/test",1.1653793089467017,1.0904802076893776,1.36472060609636,0.19806492576039134,5.928899050183305e-2,0.3290665128212604
"BasicQueue/Inserts/Insert 100 into queue of size 7000/setup",1.5175906412678686,1.4626284830647436,1.7346951000767676,0.1721211476145039,1.9164634617727888e-3,0.286194333614731
"BasicQueue/Inserts/Insert 100 into queue of size 7000/test",1.6165634148198096,1.536100100763413,1.8953214161473242,0.22729476684416847,3.549904587171101e-2,0.37675785804420986
