Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 1/setup",1.1533957796895834e-4,8.385722110058023e-5,1.5293198247820223e-4,4.327855599904832e-5,3.0036303974360485e-5,5.367671973248055e-5
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 1/test",1.6454665171372336e-4,7.965324627625387e-5,3.3951832162606164e-4,1.4190529758836544e-4,6.569208220389095e-6,1.812448785286821e-4
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 2/setup",7.256708008990424e-4,2.795684466374321e-4,1.1712645288585693e-3,6.094647127398194e-4,4.968001242086462e-4,6.130054953224992e-4
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 2/test",6.93691935650138e-5,6.359946395075599e-5,7.161032820856848e-5,4.39104630783895e-6,8.529922399520072e-7,6.0070127595037555e-6
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 4/setup",5.658995772517005e-5,5.325209761774817e-5,6.150138045466223e-5,5.033399625130326e-6,2.0606317936260127e-6,7.051710630721797e-6
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 4/test",3.3234717117195506e-4,9.858797230197743e-5,1.017255629336715e-3,5.118596184266258e-4,6.839169923900918e-6,6.344114376162864e-4
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 8/setup",6.161402118562464e-4,5.470532982848412e-5,1.184557352271983e-3,7.677106226220815e-4,6.184798551957311e-4,7.80762416182457e-4
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 8/test",2.483025426781455e-4,1.3500262790938153e-4,3.612107697812426e-4,1.535419995717655e-4,1.248644840471976e-4,1.5659041685304223e-4
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 16/setup",6.705120439446249e-4,4.2601634556074867e-4,9.875508524947786e-4,3.577345351074216e-4,2.3458160772864622e-4,4.359957952762647e-4
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 16/test",8.08609690777091e-5,7.408988143122474e-5,8.562934065974036e-5,7.501665459896218e-6,4.439965952676689e-6,1.1491676583398489e-5
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 32/setup",5.657142234403033e-5,5.6046901470006897e-5,5.697673392850299e-5,5.815654238534197e-7,2.6656007498500226e-7,8.488170203646611e-7
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 32/test",6.036970309046812e-4,1.0578367030897806e-4,2.0916554621485776e-3,1.1095210290962144e-3,2.8145765153907894e-6,1.3606863304530274e-3
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 64/setup",7.712310386258502e-5,7.180636954862019e-5,8.675521445828816e-5,9.325565269763636e-6,2.154689359387217e-6,1.29281361563233e-5
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 64/test",1.434669746488984e-4,1.4261733753064554e-4,1.446792969996027e-4,1.2978996476654706e-6,6.06569639657362e-7,1.927150997284801e-6
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 128/setup",1.1834036971247474e-4,1.1352431441462317e-4,1.2420546675837317e-4,6.590883149732632e-6,3.867969473013549e-6,9.92462977657143e-6
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 128/test",1.615894999614982e-4,1.5844237471735755e-4,1.632107462993888e-4,3.3062046892068524e-6,1.812608509898015e-6,4.309378718774434e-6
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 256/setup",2.2825133467829507e-4,2.2286307479059975e-4,2.3583304549372474e-4,8.094653106888113e-6,3.886295973200792e-6,1.2014025519007511e-5
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 256/test",1.1488861424978388e-3,3.586716039236202e-4,3.5038418157156124e-3,1.756494204188286e-3,7.875666167089751e-6,2.1567134615127015e-3
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 512/setup",3.023041602622631e-3,1.0996712412945058e-3,8.670796271812085e-3,4.217391726696062e-3,6.677282525219029e-5,5.223619943324125e-3
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 512/test",5.247820731650951e-3,1.3010395732036856e-3,1.6943205710899e-2,8.729453058395675e-3,6.992089763412306e-5,1.0735315324636625e-2
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 1024/setup",4.17498480940974e-3,3.5473717417827872e-3,6.011380073081616e-3,1.3721929819527864e-3,2.2817542418716193e-5,1.7033798790210214e-3
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 1024/test",4.395808097373608e-3,4.011334296714427e-3,5.13934027815974e-3,8.10953633883729e-4,1.811981201171875e-5,1.0430002371773152e-3
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 2048/setup",1.1927355643760327e-2,1.1424006339561107e-2,1.330126654769099e-2,1.0407761770967925e-3,6.157027669672323e-5,1.3215428070908262e-3
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 2048/test",2.098544966841853e-2,1.4380635138999584e-2,3.061064612532771e-2,1.0265136168456493e-2,5.285242786548407e-3,1.3593869874757001e-2
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 4096/setup",5.354184043074763e-2,4.4292582389365794e-2,6.28515137400738e-2,1.212526768937987e-2,6.914841142284025e-3,1.6553368356683817e-2
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 4096/test",6.718562972212946e-2,5.326122176314509e-2,8.111003768111384e-2,1.7947809156918983e-2,1.3317464002375998e-2,2.1691976010737576e-2
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 8192/setup",0.13916739356185115,0.1189242733683697,0.1616547001566998,2.8084860333806298e-2,1.4771554682419356e-2,3.737537221516457e-2
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 8192/test",0.14369243514205135,0.12505153548384823,0.17784298789168515,3.475064543429301e-2,4.900331465812298e-3,4.7520041480861294e-2
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 16384/setup",0.38874076735640684,0.3596340073313824,0.46591986548567926,5.8798476072621904e-2,6.48054529062598e-3,7.62078367862105e-2
"StrictOkasakiQueue/Inserts/Insert 100 into queue of size 16384/test",0.3862769497599713,0.3624465836253277,0.4480564964976422,4.750777158224185e-2,3.897939934782136e-3,6.119696483638012e-2
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 1/setup",3.921100074784999e-7,3.745006684411231e-7,4.022007523201428e-7,1.7507894844932818e-8,7.099482080455303e-9,2.54672198896515e-8
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 1/test",4.849824918868412e-6,4.082874685908058e-6,5.9581370800377315e-6,1.1925557321160178e-6,6.463432969238343e-7,1.5206700321701906e-6
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 2/setup",1.318304099365656e-6,1.1824912256777085e-6,1.5111342524232977e-6,2.0883862180834645e-7,8.746388635530568e-8,3.0638442894244246e-7
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 2/test",3.934724492376943e-5,4.433562822703779e-6,1.4402554949562385e-4,7.802541805974615e-5,1.0415043410910671e-8,9.558069120003687e-5
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 4/setup",8.208663367153736e-6,2.2761723998774497e-6,1.5458437466661956e-5,8.429886699789948e-6,6.255942670766621e-6,9.946618692245687e-6
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 4/test",3.909698733350422e-6,3.631817768742394e-6,4.174425569456295e-6,3.483943321725246e-7,2.1462239038872932e-7,4.953308872154523e-7
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 8/setup",3.404588222803371e-6,3.2873120568669267e-6,3.539906875806961e-6,1.5884845294173244e-7,1.1726908468377733e-7,1.9411615850335304e-7
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 8/test",7.983665146131451e-6,7.531476092241241e-6,9.104117289851257e-6,8.641179810811702e-7,2.9272503260082377e-8,1.1042086396469306e-6
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 16/setup",6.246315675314133e-5,2.5926077169110453e-5,1.2762073783163393e-4,6.023009520638048e-5,2.1196820054419856e-5,8.227143793930426e-5
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 16/test",1.2709180144376534e-5,1.0685271317336602e-5,1.4462881248434694e-5,2.5093519618760326e-6,1.941119966104113e-6,2.9164482238170423e-6
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 32/setup",6.007858261093333e-5,2.0602763760973875e-5,1.5036904805582204e-4,7.049068537766651e-5,1.249202407329125e-6,8.969125450018694e-5
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 32/test",1.2034277763194703e-4,3.8044576674317873e-5,3.549797461278415e-4,1.7813790128693019e-4,9.87857545507594e-7,2.2418630006309468e-4
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 64/setup",4.642096219268748e-5,4.606236118697758e-5,4.663845832505156e-5,3.4855682202019465e-7,1.385823706717833e-7,5.130212760445775e-7
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 64/test",1.0978115763775137e-4,7.29216453086498e-5,1.8298042979351308e-4,6.215085029520028e-5,1.952287881751213e-5,8.379782799507739e-5
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 128/setup",1.1573764598646829e-4,1.0889503276625345e-4,1.278373888758726e-4,1.232134841389556e-5,2.1210377958596293e-6,1.7400748917475554e-5
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 128/test",2.472498596512658e-4,1.457904720743245e-4,5.128048079378424e-4,2.0102039499778727e-4,4.785506276968487e-6,2.541038846786713e-4
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 256/setup",1.8772017623102944e-4,1.8614661360895912e-4,1.9010436202204507e-4,2.5254369119387363e-6,1.1680077279964342e-6,3.264680847556389e-6
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 256/test",1.7146967047868772e-3,7.036270891049111e-4,2.7257663204688434e-3,1.269617041126359e-3,8.193913636586863e-4,1.470999896291958e-3
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 512/setup",9.797943797222402e-4,9.68779441367748e-4,9.957684245220449e-4,1.6614713208892305e-5,6.692728446778348e-6,2.350570210240594e-5
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 512/test",4.29862868453181e-3,1.1664284434429433e-3,8.1576718058697e-3,4.475093924947483e-3,2.6988776832978134e-3,5.2889135602752525e-3
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 1024/setup",8.199066577678504e-3,3.484672961955847e-3,1.872558063102323e-2,8.270069922979045e-3,7.329478252052733e-5,1.0508877061050114e-2
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 1024/test",8.901156302940014e-3,5.186118003379467e-3,1.3620556708823802e-2,5.189517273910897e-3,3.2488016527791497e-3,6.763243431031718e-3
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 2048/setup",1.1330403205405834e-2,1.1136711951743724e-2,1.1856545325767163e-2,4.0055900071455275e-4,2.1475546068195003e-5,5.152972249783005e-4
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 2048/test",1.2176741477500561e-2,1.206053626204646e-2,1.2430704947959545e-2,2.0909984940910837e-4,3.317044269369129e-5,2.8206842522887204e-4
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 4096/setup",3.355850112105525e-2,3.332394492293513e-2,3.379305731917537e-2,3.0578577463417905e-4,1.8086921178434243e-4,4.014251570155336e-4
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 4096/test",4.138344657088435e-2,3.596714865828669e-2,5.433362853194392e-2,1.0018286540847689e-2,1.9658682460327458e-4,1.2728626023907372e-2
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 8192/setup",0.1288234127726666,0.11314467322493708,0.14965175521041074,2.3215773813624472e-2,1.3031803155725713e-2,2.8523124803398473e-2
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 8192/test",0.12473119628096736,0.11881669890547908,0.1413969410624615,1.2480138471958621e-2,1.3321619705853138e-4,1.5538836136497201e-2
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 16384/setup",0.3810007942881695,0.3666983498301617,0.41375106703902403,2.6483181756753408e-2,2.9489593472683488e-3,3.4503367179952255e-2
"StrictOkasakiQueue/Deletes/Pop 100 from queue of size 16384/test",0.4038207901682965,0.382000578757774,0.42564100157881896,2.841384331717252e-2,1.904177433715996e-2,3.742486477681352e-2
"StrictOkasakiQueue/BST/Traverse a balanced tree of depth 1/setup",2.8704075995296165e-6,5.94739681961564e-7,9.619684757163446e-6,5.040795954644273e-6,2.4661043889145598e-8,6.2102135225713915e-6
"StrictOkasakiQueue/BST/Traverse a balanced tree of depth 1/test",9.793661281326151e-7,9.237022863175809e-7,1.1181809124111694e-6,1.0779172199056333e-7,1.4142864603093169e-8,1.4030033394457207e-7
"StrictOkasakiQueue/BST/Traverse a balanced tree of depth 2/setup",1.817985264829887e-6,1.6892392321150432e-6,1.9228894396345744e-6,1.432276449339397e-7,8.096876543013279e-8,2.0023375865012506e-7
"StrictOkasakiQueue/BST/Traverse a balanced tree of depth 2/test",4.360406759173371e-6,4.0146998194761055e-6,4.718034627825715e-6,4.519745972187251e-7,3.280963646059724e-7,5.549957440845862e-7
"StrictOkasakiQueue/BST/Traverse a balanced tree of depth 4/setup",1.4156929777446706e-4,1.2678569646099615e-5,5.261927266453589e-4,2.869374748725003e-4,6.560755520529068e-7,3.523558781247447e-4
"StrictOkasakiQueue/BST/Traverse a balanced tree of depth 4/test",4.6257044166701676e-5,2.2851776608735076e-5,6.966231172466828e-5,2.9428689290990496e-5,1.952766229839326e-5,3.339079629440151e-5
"StrictOkasakiQueue/BST/Traverse a balanced tree of depth 8/setup",3.4392144613487775e-4,2.48439573576284e-4,4.394033186934715e-4,1.2776577641032628e-4,7.391237438867666e-5,1.7146103811366156e-4
"StrictOkasakiQueue/BST/Traverse a balanced tree of depth 8/test",4.649533000103263e-4,4.585159983745841e-4,4.713906016460685e-4,8.5515529796891e-6,4.89019696073092e-6,1.1099914881691723e-5
"StrictOkasakiQueue/BST/Traverse a balanced tree of depth 16/setup",0.12135223281050839,5.620058905745662e-2,0.31479905974532285,0.1442712202468254,5.667945445336368e-4,0.17759850751983366
