Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"StrictPairQueue/Inserts/Insert 100 into queue of size 1/setup",1.0486167293295942e-3,3.107112270102582e-4,1.78652223164893e-3,1.0219685896356117e-3,5.616787969615648e-4,1.3341934453751072e-3
"StrictPairQueue/Inserts/Insert 100 into queue of size 1/test",4.7175733846696946e-5,4.157289723781022e-5,6.155237416652117e-5,1.1344628937441144e-5,2.1857926148770183e-6,1.5017531898759394e-5
"StrictPairQueue/Inserts/Insert 100 into queue of size 2/setup",5.2606205771948415e-5,5.2143107989490124e-5,5.320023172326926e-5,6.655111629697304e-7,3.6340188484430846e-7,8.543503777334006e-7
"StrictPairQueue/Inserts/Insert 100 into queue of size 2/test",6.575057277258373e-5,6.424654890275137e-5,6.947884330328441e-5,2.936527879048677e-6,1.9758013237189792e-7,3.982910634018795e-6
"StrictPairQueue/Inserts/Insert 100 into queue of size 4/setup",5.2567756333648224e-5,5.222739325865496e-5,5.284810369735041e-5,4.017383993936051e-7,2.4541393957492866e-7,5.921455606257461e-7
"StrictPairQueue/Inserts/Insert 100 into queue of size 4/test",6.861148356555508e-5,6.738692516140366e-5,7.039302835237356e-5,1.9347031004774938e-6,9.62787333628269e-7,2.9451588922636315e-6
"StrictPairQueue/Inserts/Insert 100 into queue of size 8/setup",1.0217732781578194e-3,5.81330651451241e-5,3.253743111531843e-3,1.7320945652986928e-3,2.63846542919278e-6,2.1904441440296547e-3
"StrictPairQueue/Inserts/Insert 100 into queue of size 8/test",6.909655856213185e-5,6.842474798813011e-5,7.06658826316848e-5,1.2920547960238916e-6,1.21223250374765e-7,1.8282212746315778e-6
"StrictPairQueue/Inserts/Insert 100 into queue of size 16/setup",4.462708936947765e-5,4.394362277605317e-5,4.564434197364431e-5,1.0443955422083214e-6,3.917617017067667e-7,1.4799886508922272e-6
"StrictPairQueue/Inserts/Insert 100 into queue of size 16/test",5.5966076458042316e-5,5.1150021160190756e-5,6.679027994925325e-5,8.698194669225073e-6,9.5367431640625e-7,1.1491676583398489e-5
"StrictPairQueue/Inserts/Insert 100 into queue of size 32/setup",7.504930006283702e-5,7.043987420020682e-5,8.33303720436313e-5,7.714313864010571e-6,5.223489356090222e-7,1.0055217010473677e-5
"StrictPairQueue/Inserts/Insert 100 into queue of size 32/test",2.0505862908268516e-4,1.1378007607365196e-4,4.758186884393746e-4,2.0170361576092192e-4,8.705815593483729e-7,2.496392621431452e-4
"StrictPairQueue/Inserts/Insert 100 into queue of size 64/setup",8.515476344924683e-5,8.432162297005305e-5,8.58766419248599e-5,9.955542010320073e-7,6.447908356553046e-7,1.5053806130398898e-6
"StrictPairQueue/Inserts/Insert 100 into queue of size 64/test",6.207689504054459e-5,6.090864400294694e-5,6.431802968409928e-5,2.1948757934000483e-6,2.611744678045111e-7,2.938212762800754e-6
"StrictPairQueue/Inserts/Insert 100 into queue of size 128/setup",1.1847056139328263e-4,1.1742342699386857e-4,1.1943758715011858e-4,1.3327986689394381e-6,7.888852512134841e-7,1.927467572397291e-6
"StrictPairQueue/Inserts/Insert 100 into queue of size 128/test",1.4448966479683217e-4,1.4274920916939078e-4,1.4623012042427357e-4,2.29819090336363e-6,1.3593980671067756e-6,2.944148546159938e-6
"StrictPairQueue/Inserts/Insert 100 into queue of size 256/setup",1.42130550945347e-4,1.3569324930960482e-4,1.5376537760550328e-4,1.195021845842192e-5,2.1720966289387463e-6,1.593164253607518e-5
"StrictPairQueue/Inserts/Insert 100 into queue of size 256/test",2.7373274910179053e-4,2.54281461025243e-4,3.1687184000661324e-4,3.5990124127904955e-5,6.111711822326394e-6,4.7111855923198376e-5
"StrictPairQueue/Inserts/Insert 100 into queue of size 512/setup",6.927952465618199e-3,2.3477408262139016e-3,1.149815052470023e-2,6.107969901807571e-3,4.431425192595556e-3,7.109430188106598e-3
"StrictPairQueue/Inserts/Insert 100 into queue of size 512/test",4.7733234468025045e-4,4.663650900415786e-4,4.928976719158811e-4,1.7113097499275916e-5,7.66169815528321e-6,2.1975965933836716e-5
"StrictPairQueue/Inserts/Insert 100 into queue of size 1024/setup",5.732664761150425e-3,1.0547968717461282e-3,1.1396870312297885e-2,6.635530850996178e-3,5.049030088920581e-3,7.765108689529823e-3
"StrictPairQueue/Inserts/Insert 100 into queue of size 1024/test",1.0779650003395298e-3,1.0603538146298943e-3,1.1052400857887487e-3,2.7887070633048854e-5,1.0882849864084702e-5,3.743500705197985e-5
"StrictPairQueue/Inserts/Insert 100 into queue of size 2048/setup",1.0471949276531285e-2,3.266319927776402e-3,1.7992815670574255e-2,9.62242856940346e-3,7.572489549175039e-3,1.032514082294964e-2
"StrictPairQueue/Inserts/Insert 100 into queue of size 2048/test",2.8326842161064797e-3,2.8023096891289408e-3,2.909407314861363e-3,5.9135161603936676e-5,4.051713139772034e-6,7.665470630062401e-5
"StrictPairQueue/Inserts/Insert 100 into queue of size 4096/setup",4.6153483090007844e-2,3.5116848644817414e-2,5.6991657909954134e-2,1.4929960660700693e-2,7.952233405012575e-3,1.9942107076447346e-2
"StrictPairQueue/Inserts/Insert 100 into queue of size 4096/test",6.757149395549839e-3,6.6290709348564795e-3,6.9514605375176125e-3,2.0405812882303288e-4,6.516302971722553e-5,2.986530039344585e-4
"StrictPairQueue/Inserts/Insert 100 into queue of size 8192/setup",1.7619356808269565e-2,1.5351948437297886e-2,2.431066959818656e-2,4.9920045466359045e-3,5.0955243531015804e-5,6.172727959325718e-3
"StrictPairQueue/Inserts/Insert 100 into queue of size 8192/test",8.391974895914847e-2,4.434860676249319e-2,0.1117271754117852,4.202410936580663e-2,2.1540430662804623e-2,6.278921497935033e-2
"StrictPairQueue/Inserts/Insert 100 into queue of size 16384/setup",0.10609105556925591,5.5708584484661164e-2,0.14323280781229789,5.2625824894502626e-2,4.109077654121925e-2,6.189965474200817e-2
"StrictPairQueue/Inserts/Insert 100 into queue of size 16384/test",3.3122286495769565e-2,3.2842526135051786e-2,3.321808308085257e-2,2.045775482910667e-4,5.151165685961303e-6,2.572136163722145e-4
"StrictPairQueue/Deletes/Pop 100 from queue of size 1/setup",3.497908420183442e-7,3.3373732435883895e-7,3.591686394630056e-7,1.5426744535510923e-8,5.223489356090228e-9,2.002337586501252e-8
"StrictPairQueue/Deletes/Pop 100 from queue of size 1/test",1.0597863378843816e-5,3.4228288333563886e-6,1.8526471888939344e-5,9.850534890974602e-6,7.627627016630322e-6,1.0391284942390481e-5
"StrictPairQueue/Deletes/Pop 100 from queue of size 2/setup",7.409829867420473e-7,7.211147718169171e-7,7.704541722143238e-7,3.1138316827331926e-8,1.3005294327375272e-8,4.624964534038216e-8
"StrictPairQueue/Deletes/Pop 100 from queue of size 2/test",2.5508087398968312e-5,4.032605699220103e-6,8.965251555511503e-5,4.7805450664671624e-5,1.4536865426372927e-7,5.8692056423884296e-5
"StrictPairQueue/Deletes/Pop 100 from queue of size 4/setup",2.0364181230068642e-6,2.008121939492526e-6,2.0776606917304815e-6,4.368462166812407e-8,2.2044130303073488e-8,5.774623649709971e-8
"StrictPairQueue/Deletes/Pop 100 from queue of size 4/test",5.938469808210026e-6,5.576073567975651e-6,6.176888387311589e-6,3.8355021576290474e-7,1.919232539892013e-7,5.484663823894728e-7
"StrictPairQueue/Deletes/Pop 100 from queue of size 8/setup",4.32835183690556e-5,5.436953122473576e-6,8.626502376303753e-5,5.2605466156496496e-5,4.0966368703147475e-5,5.887851908567948e-5
"StrictPairQueue/Deletes/Pop 100 from queue of size 8/test",7.464348714460026e-6,7.302224080670963e-6,7.683693807233464e-6,2.3457286598680212e-7,1.3486991523486103e-7,3.3952680814586467e-7
"StrictPairQueue/Deletes/Pop 100 from queue of size 16/setup",9.040198873051189e-6,7.877908299931071e-6,9.487233708866618e-6,8.882392077698559e-7,1.548574096771071e-7,1.224255317833646e-6
"StrictPairQueue/Deletes/Pop 100 from queue of size 16/test",1.1135994832624088e-5,1.038259212266315e-5,1.220411006699909e-5,1.149563309120496e-6,5.175385876165438e-7,1.5148119132661649e-6
"StrictPairQueue/Deletes/Pop 100 from queue of size 32/setup",1.632802118970589e-5,1.4718695780770344e-5,1.7937346598641438e-5,2.055885080365378e-6,1.542252186886741e-6,2.4811574441428558e-6
"StrictPairQueue/Deletes/Pop 100 from queue of size 32/test",2.010176486589692e-5,1.8575885959646918e-5,2.197732435482921e-5,2.183262803294693e-6,1.074207337004548e-6,2.95997730178446e-6
"StrictPairQueue/Deletes/Pop 100 from queue of size 64/setup",3.870457133108919e-5,3.4794506633823564e-5,4.0135082805698565e-5,2.849077080972606e-6,5.223489356090222e-7,3.917617017067667e-6
"StrictPairQueue/Deletes/Pop 100 from queue of size 64/test",3.904843868637169e-5,3.877534104121899e-5,3.932153633152439e-5,3.49774642384523e-7,2.13688200930966e-7,4.56207349606584e-7
"StrictPairQueue/Deletes/Pop 100 from queue of size 128/setup",7.99927410686558e-5,6.951662870293314e-5,1.0714861722832376e-4,2.062710410987978e-5,5.936574744219175e-7,2.6287210184524046e-5
"StrictPairQueue/Deletes/Pop 100 from queue of size 128/test",1.1179579116113774e-4,1.0755875241253283e-4,1.1796061442076386e-4,6.353252371124267e-6,2.9779055329573226e-6,8.450859565388817e-6
"StrictPairQueue/Deletes/Pop 100 from queue of size 256/setup",1.1495083292776889e-4,1.0674923380667513e-4,1.355978818779642e-4,1.598347200661138e-5,2.5310577444248605e-6,2.141630635996992e-5
"StrictPairQueue/Deletes/Pop 100 from queue of size 256/test",1.3120816634121265e-3,1.9525751332667742e-4,4.141156523031268e-3,2.1528969692346245e-3,5.607020054043092e-6,2.70602866092254e-3
"StrictPairQueue/Deletes/Pop 100 from queue of size 512/setup",3.771273939413103e-3,1.1756585524502125e-3,5.900137274068865e-3,3.2666312404033403e-3,2.254829163419945e-3,3.561570923833167e-3
"StrictPairQueue/Deletes/Pop 100 from queue of size 512/test",4.159372668967328e-4,4.066866260275922e-4,4.417818408713422e-4,1.942501564802011e-5,9.916608020346365e-7,2.464834039905074e-5
"StrictPairQueue/Deletes/Pop 100 from queue of size 1024/setup",1.7267081113701518e-3,7.784697385674174e-4,4.277119335735386e-3,1.9255735516024361e-3,2.073378218798087e-5,2.4122073846424646e-3
"StrictPairQueue/Deletes/Pop 100 from queue of size 1024/test",1.2553802123349725e-3,1.2354166299782016e-3,1.2757252644183057e-3,2.6322474108837957e-5,1.7081636975444444e-5,3.4170326204423465e-5
"StrictPairQueue/Deletes/Pop 100 from queue of size 2048/setup",5.7879778715019875e-3,2.7973505826836284e-3,1.457417934855277e-2,6.564171506323933e-3,8.55808795054881e-5,8.115604825323476e-3
"StrictPairQueue/Deletes/Pop 100 from queue of size 2048/test",2.8814646573906595e-3,2.851662335002964e-3,2.9338690610771828e-3,4.84544337591245e-5,1.7430990863826157e-5,6.633831482234582e-5
"StrictPairQueue/Deletes/Pop 100 from queue of size 4096/setup",1.460035770853812e-2,1.0612950024211948e-2,1.992872684916312e-2,5.834934701811319e-3,3.419491016985217e-3,7.680096400259454e-3
"StrictPairQueue/Deletes/Pop 100 from queue of size 4096/test",2.0590338406169955e-2,9.603485760295932e-3,3.2644161877239286e-2,1.4664611690107798e-2,6.5937159385127415e-3,1.8979679162587724e-2
"StrictPairQueue/Deletes/Pop 100 from queue of size 8192/setup",3.2688936886394564e-2,1.745356052836234e-2,6.90385195585137e-2,2.8571802728766228e-2,1.8643679235419936e-3,3.6716037271192076e-2
